seed,K,n,m,alpha,beta,G,price_term,fairness_term1,fairness_term2,objective,t,gap,status
0,8,5,10,0.5,0.0,0.26547841099845915,0.6470833246079826,0.36308636165208424,0.09067595087035207,0.05011116452468123,60.00236201286316,0.002433329832915678,time_limit
0,8,5,10,0.0,0.5,0.20625795056560403,0.6567786929588091,0.34912388802558897,0.031261725970643583,0.04362447290779997,29.60452699661255,9.972199133554066e-05,optimal
0,8,5,20,0.0,0.0,0.10792487608691978,0.17156922505084032,0.06392401915352157,0.06562052868256152,0.005887199796909179,60.00311994552612,0.6641187415218424,time_limit
0,8,5,20,0.25,0.25,0.059259589123294786,0.17667233998434312,0.04454804493090207,0.0183566155100634,0.003267569414399335,60.00228190422058,0.6807210284005236,time_limit
0,8,5,20,0.5,0.0,0.08944498694118375,0.1696320191092733,0.05366442757074869,0.04881052967298549,0.003057494114864895,60.00133681297302,0.7373138067340292,time_limit
0,8,5,20,0.0,0.5,0.05562412471097392,0.17787129749978695,0.04335922399053109,0.014629962212200143,0.003270837744590974,60.00295090675354,0.6800955351904826,time_limit
0,8,10,5,0.0,0.0,0.1963234899397065,0.39868376597005417,0.1004905689924435,0.14389379221864562,0.015894874524806493,60.00333285331726,0.7769640617585735,time_limit
0,8,10,5,0.25,0.25,0.08007587035213311,0.4190252806899622,0.07063153226289862,0.029344400750274557,0.009150283173894663,60.003201961517334,0.8446438934272068,time_limit
0,8,10,5,0.5,0.0,0.16403677007142212,0.4027860349465217,0.10031960118226713,0.11121821642898655,0.008740830896232602,60.002338886260986,0.8526896114440068,time_limit
0,8,10,5,0.0,0.5,0.06567877212242913,0.42538103109,0.06533528498119244,0.014973758390780079,0.009159557800732304,60.00350213050842,0.9899408124043498,time_limit
0,8,10,10,0.0,0.0,0.17684542329165248,0.36578837153844673,0.08500924051910964,0.12964043107291912,0.013380113275274875,60.00349497795105,0.8161565853863259,time_limit
0,8,10,10,0.25,0.25,0.07884279234591667,0.3917331245867583,0.02995176027120152,0.03592550985334064,0.008023437232710338,60.003401041030884,0.9953450628359642,time_limit
0,8,10,10,0.5,0.0,0.16115134875346315,0.3704925782390036,0.048010155897524665,0.11810082144237222,0.00700729846834075,60.001874923706055,0.7915347037163595,time_limit
0,8,10,10,0.0,0.5,0.07341782437017573,0.39903000326952803,0.0770506751203497,0.023883489653179213,0.008246457714470736,60.004303216934204,0.8421545884259685,time_limit
0,8,10,20,0.0,0.0,0.24954347345762698,0.5050084851367185,0.2824620335730237,0.16373487074732718,0.025503357006008323,60.005717039108276,0.9997476567467481,time_limit
0,8,10,20,0.25,0.25,0.09277610393848179,0.46517883868890775,0.06930864055819703,0.03759463999981638,0.011323022076627784,60.00474500656128,0.9999997771019002,time_limit
0,8,10,20,0.5,0.0,0.15124085695191758,0.5106203230469631,0.18728059078216025,0.07676875079945122,0.015228781945661435,60.0037579536438,0.9999061685082928,time_limit
0,8,10,20,0.0,0.5,0.1102379746755684,0.5294320387115206,0.18379809009545295,0.03432000954248471,0.01460384570820997,60.003987073898315,0.9999973611081229,time_limit
0,8,20,5,0.0,0.0,0.07561421873350255,0.13055893467165544,0.047685981548004075,0.06312552430641927,0.0008522817711298797,60.00526809692383,1.0000000000002525,time_limit
0,8,20,5,0.25,0.25,0.047147121390523614,0.27683931751664087,0.1090627615365569,0.019672310322621955,0.002384459077496243,60.00588393211365,1.0000000000000466,time_limit
0,8,20,5,0.5,0.0,0.14350041177496503,0.3872581204959885,0.10944905860209833,0.11045637342490333,0.004497914824057486,60.00548195838928,1.0000000000000246,time_limit
0,8,20,5,0.0,0.5,0.018140432219732147,0.16205396610093725,0.005306208726627715,0.009374457823856819,0.0007004774279717283,60.00583815574646,1.0,time_limit
0,8,20,10,0.0,0.0,0.15377081468578313,0.5866495181213179,0.09346899156801865,0.11275471483371491,0.017207882855598728,60.0045120716095,1.0000000000000129,time_limit
0,8,20,10,0.25,0.25,0.07213229006330679,0.930060891539404,0.20503396389069276,0.0,0.022939047997674582,60.005794048309326,1.0000000000000049,time_limit
0,8,20,10,0.5,0.0,0.05987812181889503,0.9617688034445735,0.09431745317333076,0.0,0.023680967155299132,60.00587511062622,1.0,time_limit
0,8,20,10,0.0,0.5,0.06909028722522795,0.8585546299935898,0.2093004458043877,0.0,0.018427901317085747,60.01664614677429,1.0,time_limit
0,8,20,20,0.0,0.0,0.17184814266387638,0.6669817405365628,0.1352368628999036,0.1215944477745603,0.02224323211045914,60.00520896911621,1.0000000000000056,time_limit
0,8,20,20,0.25,0.25,0.20089267821758083,1.3483545195745048,0.17496741758546694,0.11160402504067224,0.04952203727576107,60.00544095039368,1.0000000000000022,time_limit
0,8,20,20,0.5,0.0,0.19270193746180925,0.7403220648390403,0.1155453053175869,0.14124267105515886,0.014536338840996903,60.00868511199951,1.0000000000000075,time_limit
0,8,20,20,0.0,0.5,0.08484908978562611,0.7405610833735493,0.16454445953643512,0.02725297817489425,0.014082130364885759,60.00730490684509,1.0,time_limit
1,2,5,5,0.0,0.0,0.20170992273488725,0.39466707926056394,0.017774936298095782,0.11388903873372658,0.031152420690412852,55.78087091445923,9.99725884761364e-05,optimal
1,2,5,5,0.25,0.25,0.14338805295034918,0.4046585234500971,0.021200949311533726,0.051855873604562897,0.017103294998368157,60.00746297836304,0.0002896574655679694,time_limit
1,2,5,5,0.5,0.0,0.2026362663380095,0.39473524816732974,0.016415206056986806,0.11548161367605014,0.015648956362045677,60.007713079452515,0.00016491122155489415,time_limit
1,2,5,5,0.0,0.5,0.12710688887324745,0.41134388836885327,0.02324703869943408,0.03321459184975972,0.017471984005713825,41.595824003219604,9.990273008217841e-05,optimal
1,2,5,10,0.0,0.0,0.012619009492809722,0.056037594247193255,0.0028229812867421426,0.0,0.0006280423938026134,14.719027996063232,0.0,optimal
1,2,5,10,0.25,0.25,0.012469389166266175,0.056033809630840696,0.0025252544801960732,0.0,0.00031477589594824837,19.25365686416626,0.0,optimal
1,2,5,10,0.5,0.0,0.012372852625611884,0.05604933365137206,0.002325971790674941,0.0,0.0003155053164690368,14.04921293258667,5.9165478078296745e-05,optimal
1,2,5,10,0.0,0.5,0.012601183076009477,0.0559724968043279,0.0028133674302877926,0.0,0.0003132920398510497,7.649290084838867,0.0,optimal
1,2,5,20,0.0,0.0,0.019212540507073977,0.02367261886595601,0.009800212638447223,0.009577910414659163,0.00011207857679456329,19.9531409740448,9.937893947807468e-05,optimal
1,2,5,20,0.25,0.25,0.01522535358384309,0.024951547655638194,0.009175118071140761,0.005647485017145071,8.075434374829962e-05,60.00487303733826,0.00014387203228712016,time_limit
1,2,5,20,0.5,0.0,0.0185774719698115,0.024062958855689646,0.008964613781565682,0.009282573307890729,7.799367395222062e-05,21.465254068374634,9.89094416875623e-05,optimal
1,2,5,20,0.0,0.5,0.014051868530919037,0.025918140490524638,0.00953850900907786,0.004098985928275178,7.557584346875623e-05,32.21116614341736,9.830530060175852e-05,optimal
1,2,10,5,0.0,0.0,0.07824510180167227,0.10384437798383662,1.1582785930004006e-07,0.06786060608935895,0.0010783654838849932,60.00369310379028,0.7004826793655036,time_limit
1,2,10,5,0.25,0.25,0.029870331791694297,0.12327165879566121,1.4104137259162188e-06,0.017542460705265217,0.0008367295752592979,60.005094051361084,0.021230330413848784,time_limit
1,2,10,5,0.5,0.0,0.07819941497405675,0.10384351886250962,4.2530223999984965e-07,0.06781485043668578,0.00053917382053264,60.00513005256653,0.7662711556322744,time_limit
1,2,10,5,0.0,0.5,0.022999547835271986,0.1288214325753288,1.6897670060403252e-06,0.010116559694236082,0.0008809204645615202,15.808607816696167,9.92628243579366e-05,optimal
1,2,10,10,0.0,0.0,0.07552644613808854,0.20106922523567694,0.0037238211877956826,0.05355761302062301,0.004042883333687539,60.00321578979492,0.3268313821513493,time_limit
1,2,10,10,0.25,0.25,0.0406868171354445,0.21444702768614368,0.003277991113332346,0.017603118810163965,0.002378186985349657,60.003517866134644,0.38786436956104414,time_limit
1,2,10,10,0.5,0.0,0.07488507833673777,0.20107932369022055,0.003491200295719382,0.05303154581985603,0.0020246918406620325,60.00328993797302,0.35896383443347857,time_limit
1,2,10,10,0.0,0.5,0.03550363684634045,0.21411265964485127,4.518616346629045e-09,0.014092368622547147,0.0023915089777064714,60.00271391868591,0.2144818497166406,time_limit
1,2,10,20,0.0,0.0,0.08135004839655935,0.17839804655975958,0.02182454504875985,0.052597971216203465,0.003182586301633815,60.001096963882446,0.07825269547609476,time_limit
1,2,10,20,0.25,0.25,0.04173614149362413,0.1879208309616446,0.007985780054949333,0.018951168369985005,0.001863470216498384,60.0032958984375,0.11353884886381901,time_limit
1,2,10,20,0.5,0.0,0.06985905138156928,0.17986583023479125,0.01350485843057822,0.04512003914280105,0.001663181144610027,60.00261402130127,0.05307840163013773,time_limit
1,2,10,20,0.0,0.5,0.03493424814570616,0.1918238987439224,0.007125854251740387,0.012188931145443727,0.0019141054277001133,60.00366687774658,0.6227882527804695,time_limit
1,2,20,5,0.0,0.0,0.3700651761636671,0.4622926242044386,0.2897537836900979,0.2020736531083962,0.010685723519691315,60.00209712982178,1.0000000000000209,time_limit
1,2,20,5,0.25,0.25,0.07502025955843745,0.633805133441233,0.048656560501465766,0.019001722635642926,0.010428922655171055,60.00201606750488,1.0000000000000107,time_limit
1,2,20,5,0.5,0.0,0.16177634690225345,0.6180235312531622,0.05301227744145308,0.10436903161886879,0.01025140251944811,60.001209020614624,0.9999982407958766,time_limit
1,2,20,5,0.0,0.5,0.15912091843454926,0.508414340638007,0.24387704917096717,0.011761676817165334,0.0065312970649352075,60.00220608711243,1.0,time_limit
1,2,20,10,0.0,0.0,0.10687161628639671,0.42000763146421455,0.010080748234502598,0.0808308605959347,0.008820320524408972,60.00223684310913,1.000000000000025,time_limit
1,2,20,10,0.25,0.25,0.038411624822395116,0.4312267871996469,6.76956035950979e-07,0.016849946984394792,0.004719893728364752,60.002108097076416,1.0000000000000235,time_limit
1,2,20,10,0.5,0.0,0.09939715555299297,0.4203865288945674,0.007004899559122468,0.07487537932870336,0.0044303879963589225,60.002063035964966,1.000000000000025,time_limit
1,2,20,10,0.0,0.5,0.03141733049811883,0.4342185325134849,1.2122479761487966e-10,0.009706403811832187,0.004760750486933284,60.00241494178772,1.0,time_limit
1,2,20,20,0.0,0.0,0.027907902595429232,0.5239098029588023,0.0034248248949782303,0.0,0.013724074081816555,60.00446105003357,1.0000000000000162,time_limit
1,2,20,20,0.25,0.25,0.06448498106770334,0.46786572282668515,0.03872015386263246,0.021731617995052854,0.005777930459467383,60.00566792488098,1.0000000000000193,time_limit
1,2,20,20,0.5,0.0,0.027822422778619748,0.5239382428666309,0.0032510212705764026,0.0,0.006865424343279754,60.00175380706787,1.0000000000000162,time_limit
1,2,20,20,0.0,0.5,0.07319213492087406,0.9640723508662964,0.04997703475511848,0.0,0.023235887442621686,60.00297212600708,1.0,time_limit
1,4,5,5,0.0,0.0,0.02229836556922694,0.03510057425416548,0.0024298973275320972,0.01467077638651082,0.000246410062594437,17.63062810897827,9.933449929269087e-05,optimal
1,4,5,5,0.25,0.25,0.015061122735892593,0.03689094436183081,0.0010016324816406858,0.007432525743116258,0.00014996749154805848,60.00516200065613,0.00011825073238528796,time_limit
1,4,5,5,0.5,0.0,0.021632746314297804,0.03511845447496352,0.0017434642599200058,0.0141731893543251,0.00012371054292421084,36.483810901641846,9.960988875318091e-05,optimal
1,4,5,5,0.0,0.5,0.013007783351668075,0.038261937568709846,0.0011311978530490615,0.00507259637466384,0.00015926320364131137,15.95029616355896,9.971369594652877e-05,optimal
1,4,5,10,0.0,0.0,0.03409368842757637,0.05502513121571271,0.03215349749468772,0.015050287810761898,0.0006055530130612803,60.00116491317749,0.0330575878781952,time_limit
1,4,5,10,0.25,0.25,0.02689359500117024,0.05653278586883913,0.031037453232892833,0.007827674519179206,0.00039512142885275416,60.00226402282715,0.05131948024771646,time_limit
1,4,5,10,0.5,0.0,0.0328694944726906,0.05545124112494725,0.03100252934999597,0.014028613910202159,0.00042762861749187436,60.00108313560486,0.07403855263707312,time_limit
1,4,5,10,0.0,0.5,0.024865577081790054,0.057440580257113884,0.031457500304757594,0.0055130859541778765,0.0003451390843964709,60.00279903411865,0.09579030093972957,time_limit
1,4,5,20,0.0,0.0,0.04386496091000425,0.06924361218575437,0.03944542152009002,0.020154883092830866,0.0009589355657062302,60.002623081207275,0.07088045896748257,time_limit
1,4,5,20,0.25,0.25,0.03254240628771564,0.07220238673989782,0.02967306867795436,0.010683661770247488,0.0006048843100969515,60.00221490859985,0.08509754534610893,time_limit
1,4,5,20,0.5,0.0,0.03819535300871407,0.07173859679606709,0.02778350045536038,0.01690175853566056,0.0006111329892209951,60.002208948135376,0.12577084566387187,time_limit
1,4,5,20,0.0,0.5,0.03153800456353356,0.07270757469703029,0.034734749859307475,0.008312802159300636,0.0005631904817022606,60.00146794319153,0.0416306390640686,time_limit
1,4,10,5,0.0,0.0,0.03600239998741273,0.05417916851898401,0.023744074468283364,0.02464846451844349,0.0002935382301408468,60.00258207321167,0.6665633640107834,time_limit
1,4,10,5,0.25,0.25,0.020069651664397607,0.06245561571455043,0.012325009617631982,0.010742837688534568,0.00023338145349439973,60.002445220947266,0.7621070549210714,time_limit
1,4,10,5,0.5,0.0,0.03239331878428593,0.05658726488760535,0.012517174053915453,0.023605298782046535,0.00017969088316000244,60.00222206115723,0.6568128688213172,time_limit
1,4,10,5,0.0,0.5,0.01708939824018444,0.06584544438095621,0.013665850861783069,0.007088391086643053,0.00024190377138488025,60.00147604942322,0.8094630239902887,time_limit
1,4,10,10,0.0,0.0,0.18405282061592182,0.5911709458429207,0.05972565148788803,0.11000431315965775,0.03494830872088136,60.00136995315552,0.771725713504201,time_limit
1,4,10,10,0.25,0.25,0.1063573820302352,0.6020594715993819,0.05383667580690808,0.032692265918569996,0.0185721256587201,60.002220153808594,0.7134037731176763,time_limit
1,4,10,10,0.5,0.0,0.1850280804830634,0.5922956035904143,0.047063279832460087,0.11403270016590694,0.01781757314020022,60.00268197059631,0.7863590671148173,time_limit
