seed,K,m,n,size,alpha,beta,dd_face1_time,dd_face1_status,dd_face2_time,dd_face2_status,hybrid_time,hybrid_status,objective,G,price_term,fairness_term1,fairness_term2
0,4,20,20,big,0.0,0.5,50.014065980911255,time_limit,7.133675813674927,optimal,0.0036618709564208984,optimal,0.02218137921097912,0.14735282023730908,0.9419422320074436,0.40102283454774756,0.0
0,8,5,5,small,0.0,0.0,1.2226760387420654,optimal,3.351586103439331,optimal,0.0008540153503417969,optimal,0.005888804756416543,0.0470314809447589,0.17159260992852435,0.07642989128349441,0.0031592225486172243
0,8,5,5,small,0.25,0.25,1.0609190464019775,optimal,2.2733230590820312,optimal,0.0019230842590332031,optimal,0.003115909572033137,0.04396529557221593,0.17183183756223303,0.07226874982845878,0.0005653343312119752
0,8,5,5,small,0.5,0.0,1.0170998573303223,optimal,5.001195907592773,optimal,0.0021109580993652344,optimal,0.003275366243349874,0.043269100723882625,0.17211474980635694,0.07076920610088988,0.0
0,8,5,5,small,0.0,0.5,0.7925171852111816,optimal,1.9013090133666992,optimal,0.0017580986022949219,optimal,0.0029461572055336812,0.04490925696840446,0.17162574438256112,0.07578175783002714,0.0011113883631388433
0,8,5,10,big,0.0,0.0,50.008585929870605,time_limit,3.7326998710632324,optimal,0.0020160675048828125,optimal,0.06311327700200176,0.13061111550981314,0.7944386508850243,0.22103741324008966,0.023537573766299502
0,8,5,10,big,0.25,0.25,50.00682306289673,time_limit,1.052588939666748,optimal,0.003446817398071289,optimal,0.009150078324671554,0.08085246927321878,0.41872277313202105,0.0708150137483771,0.030128315241469528
0,8,5,10,big,0.5,0.0,50.01210618019104,time_limit,3.6931769847869873,optimal,0.0024781227111816406,optimal,0.02617386929877653,0.27919353580368733,0.7067690592893334,0.13843376121972914,0.1912124097222878
0,8,5,10,big,0.0,0.5,50.00477886199951,time_limit,4.555461168289185,optimal,0.0029900074005126953,optimal,0.03158975462277484,0.10854201438471255,0.7948055706957433,0.20997805424127594,0.002814200534978717
0,8,5,20,big,0.0,0.0,50.01079320907593,time_limit,10.00509786605835,time_limit,0.006155967712402344,optimal,0.0008522817810036623,0.07561417625338498,0.1305589354279256,0.047685986797100226,0.06312548113235117
